,date,ticker,company_name,person_name,person_category,number_of_securities,transaction_type,shares_before_acq,shares_after_acq,pct_before_acq,pct_after_acq,acq_mode,security_type,xbrl_link
3005,2023-06-19 17:54:00,JSWSTEEL,JSW Steel Limited,jsw steel employees welfare trust ? opj esop plan 2021 a/c,other,3441,Sell,12608227,12419339,0.52,0.51,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147362_866742_19062023055406_WEB.xml
3006,2023-06-19 17:52:00,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,parmeshwar bang,employees/designated employees,2000,Sell,7155,5155,0.01,0.01,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147359_866736_19062023055228_WEB.xml
3007,2023-06-19 17:49:00,CSLFINANCE,CSL Finance Limited,north west securities limited,-,1000,Sell,51839,50839,0.25,0.25,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147357_866733_19062023054938_WEB.xml
3008,2023-06-19 17:47:00,STOVEKRAFT,Stove Kraft Limited,hemant kumar kothari,-,3000,Sell,14400,11400,0.04,0.04,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147356_866729_19062023054734_WEB.xml
3009,2023-06-19 17:38:00,JUBLINGREA,Jubilant Ingrevia Limited,jubilant ingrevia employees welfare trust,other,124126,Buy,1123055,1247181,0.71,0.78,Market Purchase,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147353_866718_19062023053820_WEB.xml
3010,2023-06-19 17:08:00,WELCORP,Welspun Corp Limited,ms. rama dogra,other,5000,Buy,0,5000,0.0,0.0,Market Purchase,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147350_866690_19062023050805_WEB.xml
3011,2023-06-19 17:08:00,LALPATHLAB,Dr. Lal Path Labs Ltd.,dr. lal pathlabs employees welfare trust,other,1775,Sell,368021,366246,0.44,0.44,ESOP,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147351_866692_19062023050829_WEB.xml
3012,2023-06-19 17:08:00,WELCORP,Welspun Corp Limited,ms. aashima dogra,other,1500,Buy,7000,8500,0.0,0.0,Market Purchase,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147350_866690_19062023050805_WEB.xml
3013,2023-06-19 17:08:00,LALPATHLAB,Dr. Lal Path Labs Ltd.,bharath u,key managerial personnel,1200,Buy,18186,19386,0.02,0.02,ESOP,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147351_866692_19062023050829_WEB.xml
3014,2023-06-19 16:57:00,INDSWFTLAB,Ind-Swift Laboratories Limited,rajesh nag,employees/designated employees,25800,Sell,25800,0,0.04,0.0,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147346_866674_19062023045717_WEB.xml
3015,2023-06-19 16:55:00,DBCORP,D.B.Corp Limited,sudhir agarwal,promoters,731000,Sell,8390638,7659638,4.71,4.3,Gift,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147345_866672_19062023045542_WEB.xml
3016,2023-06-19 16:55:00,DBCORP,D.B.Corp Limited,bhawna agarwal,promoters,1614000,Buy,563537,2177537,0.32,1.22,Gift,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147345_866672_19062023045542_WEB.xml
3017,2023-06-19 16:55:00,DBCORP,D.B.Corp Limited,girish agarwal,promoters,883000,Sell,8544765,7661765,4.8,4.3,Gift,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147345_866672_19062023045542_WEB.xml
3018,2023-06-19 16:51:00,LALPATHLAB,Dr. Lal Path Labs Ltd.,om prakash manchanda,director,33169,Sell,1115951,1082782,1.34,1.3,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147342_866658_19062023045145_WEB.xml
3019,2023-06-19 16:42:00,KDDL,KDDL Limited,vardhan properties and investment private limited,promoter group,2150,Buy,36003,38153,0.29,0.3,Market Purchase,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147340_866642_19062023044154_WEB.xml
3020,2023-06-19 16:17:00,NCLIND,NCL Industries Limited,kalidindi roopa,director,8452,Buy,2553893,2562345,5.65,5.66,Market Purchase,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147338_866629_19062023041749_WEB.xml
3021,2023-06-19 16:10:00,BLISSGVS,Bliss GVS Pharma Limited,vibha gagan sharma,promoters,115000,Buy,2360000,2475000,2.27,2.38,Market Purchase,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147336_866624_19062023041049_WEB.xml
3022,2023-06-19 15:55:00,LGBFORGE,LGB Forge Limited,tribe holdings private limited,promoters,9900,Sell,9900,0,0.0,0.0,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147335_866611_19062023035538_WEB.xml
